Accession number,"Annotations (NCBI, UniProt)",Source organism,Proposed annotation
WP_066377809.1,tryptophan 7-halogenase,Anabaena,Indole-FDH (C)
WP_020913738.1,tryptophan 7-halogenase,Shewanella piezotolerans,Indole-FDH (C)
WP_007638844.1,tryptophan 7-halogenase,Paraglaciecola psychrophila,Indole-FDH (C)
WP_007638311.1,tryptophan 7-halogenase,Paraglaciecola psychrophila,Indole-FDH (C)
WP_007621036.1,tryptophan 7-halogenase,Paraglaciecola arctica,Indole-FDH (C)
WP_007375483.1,tryptophan 7-halogenase,Pseudoalteromonas sp. Bsw20308,Indole-FDH (C)
WP_007375375.1,tryptophan 7-halogenase,Pseudoalteromonas sp. Bsw20308,Indole-FDH (C)
WP_007106872.1,tryptophan 7-halogenase,Paraglaciecola polaris,Indole-FDH (C)
WP_007103734.1,tryptophan 7-halogenase,Paraglaciecola polaris,Indole-FDH (C)
WP_007102985.1,tryptophan 7-halogenase,Paraglaciecola polaris,Indole-FDH (C)
WP_006994929.1,tryptophan 7-halogenase,Paraglaciecola mesophila,Indole-FDH (C)
WP_006992568.1,tryptophan 7-halogenase,Paraglaciecola mesophila,Indole-FDH (C)
WP_006990975.1,tryptophan 7-halogenase,Paraglaciecola mesophila,Indole-FDH (C)
WP_006011328.1,tryptophan 7-halogenase,Glaciecola pallidula,Indole-FDH (C)
ALO98531.1,Tryptophan 5-halogenase,Streptomyces hygroscopicus subsp. limoneus,6-Trp-FDH (B2)
AKQ20696.1,tryptophan-5 halogenase,uncultured bacterium,5-Trp-FDH (B1)
AJC55506.1,tryptophan-5 halogenase,Streptomyces sp. 769,5-Trp-FDH (B1)
AHE14653.1,tryptophan-5 halogenase,uncultured bacterium,5-Trp-FDH (B1)
EQC00145.1,tryptophan-5 halogenase,Photorhabdus temperata subsp. temperata M1021,5-Trp-FDH (B1)
EFL18155.1,tryptophan-6 halogenase,Streptomyces sp. C,6-Trp-FDH (A2)
EFK99576.1,tryptophan-6 halogenase,Streptomyces sp. SPB78,6-Trp-FDH (A2)
AKQ20699.1,tryptophan-6 halogenase,uncultured bacterium,7-Trp-FDH (A1)
WP_073564144.1,tryptophan-7 halogenase,Burkholderia ubonensis,7-Trp-FDH (A1)
WP_071763247.1,tryptophan-7 halogenase,Burkholderia ubonensis,7-Trp-FDH (A1)
WP_071752929.1,tryptophan-7 halogenase,Burkholderia ubonensis,7-Trp-FDH (A1)
WP_071733414.1,tryptophan-7 halogenase,Burkholderia ubonensis,7-Trp-FDH (A1)
WP_085530711.1,tryptophan-7 halogenase,Pseudomonas sp. NFIX51,7-Trp-FDH (A1)
WP_082417192.1,tryptophan-7 halogenase,Actinobacteria bacterium OK006,5-Trp-FDH (B1)
WP_081361441.1,tryptophan-7 halogenase,Pseudomonas chlororaphis,7-Trp-FDH (A1)
WP_079142554.1,tryptophan-7 halogenase,Streptomyces noursei,5-Trp-FDH (B1)
WP_079081191.1,tryptophan-7 halogenase,Streptomyces reticuli,5-Trp-FDH (B1)
WP_079046400.1,tryptophan-7 halogenase,Streptomyces thermoautotrophicus,5-Trp-FDH (B1)
WP_078957590.1,tryptophan-7 halogenase,Streptomyces glaucescens,5-Trp-FDH (B1)
WP_078903284.1,tryptophan-7 halogenase,Streptomyces toyocaensis,5-Trp-FDH (B1)
WP_074993786.1,tryptophan-7 halogenase,Streptomyces misionensis,6-Trp-FDH (A2)
WP_074467923.1,tryptophan-7 halogenase,Streptomyces sp. WMMB 714,5-Trp-FDH (B1)
WP_074002444.1,tryptophan-7 halogenase,Streptomyces sp. CB02056,6-Trp-FDH (B2)
WP_073920510.1,tryptophan-7 halogenase,Streptomyces sp. CB00455,6-Trp-FDH (A2)
WP_062768746.1 (Hal2),tryptophan-7 halogenase,Streptomyces sp. NRRL S-1521,6-Trp-FDH (A2)
WP_060286148.1,tryptophan-7 halogenase,Burkholderia cepacia,7-Trp-FDH (A1)
WP_060174491.1,tryptophan-7 halogenase,Burkholderia cepacia,7-Trp-FDH (A1)
WP_060084749.1,tryptophan-7 halogenase,Burkholderia cepacia,7-Trp-FDH (A1)
WP_041221438.1,tryptophan-7 halogenase,Burkholderia pseudomallei,7-Trp-FDH (A1)
WP_038800614.1,tryptophan-7 halogenase,Burkholderia pseudomallei,7-Trp-FDH (A1)
WP_038800259.1,tryptophan-7 halogenase,Burkholderia pseudomallei,7-Trp-FDH (A1)
WP_038793108.1,tryptophan-7 halogenase,Burkholderia pseudomallei,7-Trp-FDH (A1)
WP_038791446.1,tryptophan-7 halogenase,Burkholderia pseudomallei,7-Trp-FDH (A1)
WP_038790924.1,tryptophan-7 halogenase,Burkholderia pseudomallei,7-Trp-FDH (A1)
WP_038790348.1,tryptophan-7 halogenase,Burkholderia pseudomallei,7-Trp-FDH (A1)
WP_038778498.1,tryptophan-7 halogenase,Burkholderia pseudomallei,7-Trp-FDH (A1)
WP_038766293.1,tryptophan-7 halogenase,Burkholderia pseudomallei,7-Trp-FDH (A1)
WP_038765329.1,tryptophan-7 halogenase,Burkholderia pseudomallei,7-Trp-FDH (A1)
WP_038750271.1,tryptophan-7 halogenase,Burkholderia pseudomallei,7-Trp-FDH (A1)
WP_038741479.1,tryptophan-7 halogenase,Burkholderia pseudomallei,7-Trp-FDH (A1)
WP_073817696.1,tryptophan-7 halogenase,Streptomyces sp. CB02261,6-Trp-FDH (B2)
WP_073789365.1,tryptophan-7 halogenase,Streptomyces sp. CB01580,6-Trp-FDH (A2)
WP_073776777.1 (Hal5),tryptophan-7 halogenase,Streptomyces sp. TSRI0445,6-Trp-FDH (B2)
WP_073760485.1,tryptophan-7 halogenase,Streptomyces sp. CB02923,5-Trp-FDH (B1)
WP_073755302.1,tryptophan-7 halogenase,Streptomyces sp. CB03234,5-Trp-FDH (B1)
WP_073480550.1,tryptophan-7 halogenase,Streptoalloteichus hindustanus,Indole-FDH (C)
WP_073450046.1,tryptophan-7 halogenase,Streptomyces yunnanensis,5-Trp-FDH (B1)
WP_073439179.1 (Hal1),tryptophan-7 halogenase,Serratia plymuthica,7-Trp-FDH (A1)
WP_072436881.1,MULTISPECIES: tryptophan-7 halogenase,Burkholderia,7-Trp-FDH (A1)
WP_072161934.1,tryptophan-7 halogenase,Photorhabdus heterorhabditis,5-Trp-FDH (B1)
WP_071961801.1,tryptophan-7 halogenase,Streptomyces cinnamoneus,6-Trp-FDH (B2)
WP_071812808.1,tryptophan-7 halogenase,Lentzea guizhouensis,5-Trp-FDH (B1)
WP_071811660.1,tryptophan-7 halogenase,Nocardia seriolae,5-Trp-FDH (B1)
WP_071803089.1,tryptophan-7 halogenase,Couchioplanes caeruleus,5-Trp-FDH (B1)
WP_070021923.1,tryptophan-7 halogenase,Streptomyces sp. F-1,6-Trp-FDH (A2)
WP_069926446.1 (Hal7),tryptophan-7 halogenase,Streptomyces agglomeratus,7-Trp-FDH (A1)
WP_069768138.1 (Hal6),tryptophan-7 halogenase,Streptomyces sp. LUP30,5-Trp-FDH (B1)
WP_026723863.1,tryptophan-7 halogenase,Fischerella sp. PCC 9431,5-Trp-FDH (B1)
WP_024430541.1,tryptophan-7 halogenase,Burkholderia pseudomallei,7-Trp-FDH (A1)
WP_050043114.1,tryptophan-7 halogenase,Burkholderia pseudomallei,7-Trp-FDH (A1)
WP_003983578.1,MULTISPECIES: tryptophan-7 halogenase,Streptomyces,5-Trp-FDH (B1)
AMR44308.1 (Hal3),tryptophan 6-halogenase,Streptomyces sp. FXJ1.172,6-Trp-FDH (A2)
